Region_Code,Region,Area_Code,Area,Electorate,Turnout,Valid_Votes,Leave
S92000003,Scotland,S12000023,Orkney Islands,16658,0.6845,11382,0.3684
S92000003,Scotland,S12000024,Perth and Kinross,110224,0.7375,81255,0.3891
S92000003,Scotland,S12000026,Scottish Borders,88440,0.7344,64914,0.4153
S92000003,Scotland,S12000027,Shetland Islands,17375,0.7039,12222,0.4349
S92000003,Scotland,S12000028,South Ayrshire,88116,0.6984,61506,0.4104
S92000003,Scotland,S12000029,South Lanarkshire,248949,0.6535,162592,0.3692
S92000003,Scotland,S12000030,Stirling,66100,0.7403,48899,0.3228
S92000003,Scotland,S12000033,Aberdeen City,154266,0.6794,104714,0.389
S92000003,Scotland,S12000034,Aberdeenshire,196809,0.7063,138961,0.4499
S92000003,Scotland,S12000035,Argyll and Bute,66642,0.7313,48696,0.3943
S92000003,Scotland,S12000036,City of Edinburgh,346073,0.7296,252294,0.2556
S92000003,Scotland,S12000038,Renfrewshire,127294,0.6929,88129,0.3519
S92000003,Scotland,S12000039,West Dunbartonshire,67595,0.6398,43220,0.3801
S92000003,Scotland,S12000040,West Lothian,130925,0.6764,88508,0.4175
S92000003,Scotland,S12000041,Angus,87137,0.6803,59258,0.4474
S92000003,Scotland,S12000042,Dundee City,105554,0.6292,66385,0.4022
S92000003,Scotland,S12000044,North Lanarkshire,254567,0.6091,154949,0.3834
S92000003,Scotland,S12000045,East Dunbartonshire,83031,0.7517,62374,0.286
S92000003,Scotland,S12000046,Glasgow City,449806,0.5625,252809,0.3341
E12000008,South East,E06000035,Medway,192524,0.7218,138886,0.6408
E12000008,South East,E06000036,Bracknell Forest,85298,0.7611,64890,0.5394
E12000008,South East,E06000037,West Berkshire,116757,0.7995,93277,0.4822
E12000008,South East,E06000038,Reading,103172,0.7253,74767,0.4197
E12000008,South East,E06000039,Slough,87873,0.6213,54542,0.5433
E12000008,South East,E06000040,Windsor and Maidenhead,102665,0.7973,81792,0.461
E12000008,South East,E06000041,Wokingham,121891,0.8003,97501,0.4331
E12000008,South East,E06000042,Milton Keynes,177211,0.7366,130456,0.5141
E12000008,South East,E06000043,Brighton and Hove,198293,0.7405,146675,0.3138
E12000008,South East,E06000044,Portsmouth,140517,0.703,98720,0.5808
E12000008,South East,E06000045,Southampton,158171,0.6814,107665,0.538
E12000008,South East,E06000046,Isle of Wight,109844,0.7231,79380,0.6195
E12000008,South East,E07000004,Aylesbury Vale,136235,0.7846,106833,0.505
E12000008,South East,E07000005,Chiltern,70185,0.8357,58604,0.4498
E12000008,South East,E07000006,South Bucks,52194,0.7808,40724,0.507
