id,Name,Total pop. 1981,Total pop. 1991,Pop. density 1981,Pop. density 1991,% 0-14 years,% 15-24 years,% 25-64 years,% 65 or more years,% male 1981,% female 1981,% male 1991,% female 1991,Abs. pop. change from 1981 to 1991,% pop. change from 1981 to 1991,% female among employed 1991,% unemployed in total pop. 1991,% female among unemployed 1991,% employed in agriculture 1981,% employed in industry 1981,% employed in services 1981,% employed in agriculture 1991,% employed in industry 1991,% employed in services 1991,% pop. no primary school education 1981,% pop. with primary school education 1981,% pop. with preparatory school education 1981,% pop. with high school education 1981,% pop. no primary school education 1991,% pop. with primary school education 1991,% pop. with preparatory school education 1991,% pop. with high school education 1991,total employed in agriculture 1991,total employed in industry 1991,total employed in services 1991,N pop. no primary school education 1991,N pop. with primary school education 1991,N pop. with preparatory school education 1991,N. pop. with high school education 1991
1112,Sobral de Monte Agraco,7863,7245,151.354,139.458,18.05,13.98,51.36,16.61,49.71,50.29,48.85,51.15,-618,-7.86,31.78,1.68,61.48,29.79,32.90,37.31,14.93,33.73,51.34,56.56,32.16,3.53,7.751,18.54,31.79,5.89,4.98,413,933,1420,1343,2303,427,361
1113,Torres Vedras,65039,67185,160.238,165.525,18.81,15.59,51.21,14.40,50.15,49.85,49.47,50.53,2146,3.30,35.99,2.19,67.62,27.90,36.47,35.63,19.05,33.89,47.06,53.73,32.12,5.19,8.964,17.58,26.15,6.35,6.23,5383,9574,13294,11814,17568,4264,4188
1114,Vila Franca de Xira,88193,103571,300.095,352.421,21.14,15.46,54.46,8.95,49.55,50.45,49.17,50.83,15378,17.44,39.67,4.37,65.03,3.36,57.37,39.28,1.61,41.20,57.19,43.48,37.65,9.70,9.171,11.92,26.13,5.67,9.97,742,18987,26359,12343,27058,5874,10322
1115,Amadora,163878,177167,6895.481,7454.641,19.35,16.16,55.85,8.65,48.82,51.18,48.37,51.63,13289,8.11,43.35,3.43,58.32,0.49,38.18,61.33,0.23,28.02,71.75,40.41,38.66,10.99,9.941,9.68,25.18,5.02,10.80,194,23586,60392,17145,44607,8898,19133
1201,Alter do Chao,4963,4441,13.724,12.281,14.10,11.28,46.72,27.90,48.58,51.42,47.71,52.29,-522,-10.52,34.28,2.81,68.80,51.86,15.98,32.16,22.54,21.23,56.24,60.30,29.97,3.86,5.880,26.28,26.98,5.92,4.62,309,291,771,1167,1198,263,205
1202,Arronches,4307,3677,13.694,11.691,13.92,12.10,47.24,26.73,49.43,50.57,49.69,50.31,-630,-14.63,29.90,1.93,61.97,49.41,16.10,34.50,32.68,15.69,51.63,61.35,29.54,2.92,6.191,32.06,25.16,6.53,3.67,400,192,632,1179,925,240,135
1203,Avis,5890,5686,9.727,9.39,16.02,12.05,47.89,24.04,48.85,51.15,48.49,51.51,-204,-3.46,36.48,3.83,69.27,55.17,22.24,22.59,36.29,26.27,37.44,59.17,29.96,3.53,7.339,28.47,26.96,4.71,4.38,757,548,781,1619,1533,268,249
1204,Campo Maior,8549,8535,34.576,34.52,19.53,14.99,47.86,17.62,49.37,50.63,49.03,50.97,-14,-0.16,31.26,4.31,64.67,36.61,30.32,33.07,22.29,28.96,48.75,57.54,29.83,4.58,8.050,23.82,26.28,6.07,5.64,641,833,1402,2033,2243,518,481
1205,Castelo de Vide,4187,4145,15.81,15.652,14.07,11.56,44.78,29.60,47.6,52.4,47.53,52.47,-42,-1.00,36.35,2.56,75.47,34.60,25.42,39.97,17.89,23.83,58.27,61.27,28.86,3.70,6.171,29.60,27.19,5.57,4.78,253,337,824,1227,1127,231,198
1206,Crato,5642,5064,14.54,13.051,13.25,11.41,46.98,28.36,48.69,51.31,48.05,51.95,-578,-10.24,32.85,4.40,74.44,36.03,27.13,36.84,23.04,25.67,51.29,61.37,28.95,3.30,6.378,24.57,27.67,6.26,3.42,385,429,857,1244,1401,317,173
